cod_ine,anio,poblacion,fuente
03063,1999,29585,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2000,30693,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2001,32332,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2002,34686,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2003,37773,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2004,38584,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2005,40601,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2006,41591,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2007,42704,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2008,44035,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2009,44464,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2010,44498,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2011,44726,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2012,44455,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2013,44450,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2014,41672,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2015,41553,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2016,41465,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2017,41568,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2018,41733,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2019,42166,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2020,42827,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2021,42953,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2022,43899,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2023,45622,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2024,46942,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,2025,47261,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,1996,191660,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,1998,191713,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,1999,193174,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2000,195791,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2001,198190,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2002,201731,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2003,207163,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2004,209439,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2005,215137,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2006,219032,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2007,222422,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2008,228348,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2009,230112,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2010,230822,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2011,230354,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2012,230587,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2013,230224,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2014,228647,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2015,227312,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2016,227659,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2017,228675,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2018,230625,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2019,232517,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2020,234765,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2021,234205,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2022,235580,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2023,238293,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2024,243128,"INE, Padrón municipal, tablas provinciales 2854–2909"
03065,2025,245557,"INE, Padrón municipal, tablas provinciales 2854–2909"
03066,1996,52751,"INE, Padrón municipal, tablas provinciales 2854–2909"
03066,1998,52490,"INE, Padrón municipal, tablas provinciales 2854–2909"
03066,1999,51228,"INE, Padrón municipal, tablas provinciales 2854–2909"
03066,2000,51501,"INE, Padrón municipal, tablas provinciales 2854–2909"
03066,2001,51816,"INE, Padrón municipal, tablas provinciales 2854–2909"
03066,2002,53103,"INE, Padrón municipal, tablas provinciales 2854–2909"
03066,2003,54086,"INE, Padrón municipal, tablas provinciales 2854–2909"
03066,2004,55576,"INE, Padrón municipal, tablas provinciales 2854–2909"
