cod_ine,anio,ipr,dqs,dqs_level,local_moran_i,p_value,p_value_fdr,quadrant,cluster_type,cluster_type_raw,is_significant,is_significant_raw,eligible,exclusion_reason,neighbor_count,neighbors,standardized_ipr,spatial_lag,spatial_lag_ipr,calculation_version,calculated_at
46078,2023,52.0443587270974,,,-0.026764583436108234,0.242,0.7946268656716418,LH,NS,NS,False,False,True,,2,"['46190', '46250']",-0.0333755370144699,0.8055839261614108,67.89296046287367,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46094,2023,41.571841851494696,,,-0.34708323323560203,0.394,0.874601226993865,LH,NS,NS,False,False,True,,2,"['46244', '46250']",-0.5877472905946387,0.5932278953240722,63.88138862102218,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46102,2023,53.6162005785921,,,0.01054952498721023,0.654,0.8773170731707318,HH,NS,NS,False,False,True,,6,"['46021', '46110', '46159', '46169', '46190', '46250']",0.049831273145352795,0.21267159486917747,56.692381870781105,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46110,2023,47.15525554484089,,,-0.02167987319335459,0.868,0.9453465346534654,LH,NS,NS,False,False,True,,5,"['46005', '46021', '46102', '46169', '46250']",-0.29218444959747686,0.07453808057931238,54.082931533269054,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46131,2023,59.2092574734812,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46145,2023,49.95178399228544,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46159,2023,55.89199614271939,,,0.03440962325685459,0.758,0.9421468926553673,HH,NS,NS,False,False,True,,2,"['46102', '46190']",0.17030248294730482,0.2029726415376643,56.509161041465774,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46169,2023,59.6817743490839,,,0.12464039146897618,0.546,0.874601226993865,HH,NS,NS,False,False,True,,3,"['46102', '46110', '46250']",0.37091767554123295,0.3375668886469073,59.0517518482803,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46181,2023,66.40308582449374,,,1.3314879255223289,0.062,0.44,HH,NS,NS,False,False,True,,1,['03063'],0.7267161214393708,1.840564340879451,87.44455159112826,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46184,2023,41.40790742526519,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46190,2023,59.40212150433944,,,0.12777890338171838,0.472,0.874601226993865,HH,NS,NS,False,False,True,,4,"['46078', '46102', '46159', '46250']",0.3561140099299758,0.3604530153677584,59.4840887174542,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
